Service name,Source website URL,Summary text,Self-referral,Age
Unique Swagga Hillingdon Council,https://www.hillingdon.gov.uk/targeted-programmes#cookie-consents-updated,"Weekly groups for girls and young women. Each week, explore issues that affect young people through games, cooking, craft, sport, activities and discussion.",1,12|13|14|15|16|17|18|19
Yoga For Wellness Hillingdon Council,https://www.hillingdon.gov.uk/targeted-programmes#cookie-consents-updated,"Yoga group to support young people who struggle with stress, anxiety, and/or depression.",1,15|16|17|18|19|20|21
Counselling for adults on low incomes Hillingdon Mind,https://www.mindinhillingdon.org.uk/our-services/counselling/the-free-counselling-service/,"Up to 12 sessions of counselling for peopl earning £16,000 or less a year.  You must be registered with a GP in Hillingdon and you will need to provide proof of your low income.",1,18|19|20|21|22|23|24|25
Befriending Hillingdon Unaccompanied Minors Project Hillingdon Refugee Support Group,https://www.bhump.org.uk,"Offers English and maths lessons, life-skills and befriending activities, and one-to-one practical and emotional support (including to help people access services and job interviews). You need to be referred by a professional like a school officer, social worker, support worker, or foster parent.",,16|17|18|19|20|21
Support for young carers Carers Trust Hillingdon and Ealing,https://www.carerstrusthillingdon.org/young-carer-services,"Offers one-to-one support, youth clubs, workshops, weekends away, whole family support, and school liaison for young carers.",1,8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25
P3 Yiewsley Navigator Wellbeing Service P3 Charity,https://p3charity.org/services/yiewsley-navigator-wellbeing,"Offers advice and guidance on education, employment, housing and personal welfare to support you in building a brighter future. You need to contact them to request a referral form.",1,13|14|15|16|17|18|19|20|21|22|23|24|25
Youth Club The Rugby Portobello Trust,https://www.rugbyportobello.org.uk/what-we-do/youth-club,"Sessions for young people in North Kensington every week in term time, as well as holiday activities including sports and trips.",1,13|14|15|16|17|18|19|20|21|22|23|24|25
Project Athena The Rugby Portobello Trust,https://www.rugbyportobello.org.uk/what-we-do/project-athena,"Weekly sessions for girls in North Kensington that offer the chance to learn practical skills (like sports, self-defence, make-up) and go on trips while learning to speak up for themselves and voice their opinion.",1,11|12|13|14|15|16
Man Cave The Rugby Portobello Trust,https://www.rugbyportobello.org.uk/what-we-do/man-cave,"Weekly sessions for boys in North Kensington that give them the chance to do an activity, cook a meal, and talk about a range of issues and improve their wellbeing. You have to be referred by social services, St Giles Trust, or another project or service from the Rugby Portobello Trust.",,14|15|16|17|18|19|20|21|22|23|24|25
Counselling Hounslow Youth Counselling Service,https://www.hycscounselling.co.uk,Confidential counselling for young people in Hounslow. You can talk about anything that is worrying you.,1,11|12|13|14|15|16|17|18|19|20|21|22|23|24|25
Youth clubs West Central London Mind,https://allkind.org.uk/children-young-people-services/youth-clubs/,Allkind puts Mental Health Youth Workers in youth clubs to make it easier for young people to get support. The workers can help you make a care plan and can also refer you to get more support. You can see the youth clubs with Mental Health Youth Workers on the Allkind website. This service used to be provided by West Central London Mind – the organisation has rebranded and changed its name to Allkind.,1,8|9|10|11|12|13|14|15|16|17|18
Mental Health Hub West Central London Mind,https://allkind.org.uk/children-young-people-services/mental-health-hub/,"A safe and supportive environment where young people can access a range of wellbeing services tailored to make sure they can access effective mental health support. You can access one-to-one support, creative activities, and group workshops. This service used to be provided by West Central London Mind – the organisation has rebranded and changed its name to Allkind.",1,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25
Insight Kensington and Chelsea Insight,https://insightyoungpeople.org.uk/our-services/insight-kc/,"Offers information, advice and help to young people who are living with or affected by drug or alcohol issues. You’ll be allocated a key worker who will work with you. Support is based in the community to make it easier to access.",1,8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25
Insight Westminster Insight,http://insightyoungpeople.org.uk/our-services/insight-westminster/,"Offers information, advice and help to young people who are living with or affected by drug or alcohol issues. You’ll be allocated a key worker who will work with you. Support is based in the community to make it easier to access.",1,8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25
Activities for young people in North Kensington Making Communities Work and Grow (MCWG),https://www.mcwg.org.uk/activities,Activities for young people including separate clubs for boys and girls and clubs focused on sports. Different clubs have different age limits.,1,8|9|10|11|12|13|14|15|16
Support for young carers Royal Borough of Kensington and Chelsea,https://www.rbkc.gov.uk/kb5/rbkc/fis/advice.page?id=Bq0PP7KLzE0,The council’s Early Help Team can talk to you about your situation and give you support and advice. There is also a fortnightly virtual group for young carers and young carers can access funding to help them take part in physical activity.,1,8|9|10|11|12|13|14|15|16|17|18
Express Plus 1:1 arts therapy DreamArts,https://www.dreamarts.org.uk/projects/express/,"Offers weekly individual, parent-child, or family therapy using a creative arts approach. Sessions are during term-time, and young people can have up to 18 sessions.",1,8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25
Wellbeing Workshops DreamArts,https://www.dreamarts.org.uk/projects/express/,"A monthly group spae for young people, with creative activities on different wellbeing topics.",1,14|15|16|17|18
Brent Cove Hestia,https://www.hestia.org/brent-cove,"A safe, inviting, and inclusive space for individuals who are struggling to cope with their mental health and daily life. Anyone aged 16+ in crisis can drop in to get 1-to-1 support to as well as activities and a hot drink and snack.",1,16|17|18|19|20|21|22|23|24|25
Hammersmith and Fulham Mental Health Community Support Service Hestia,https://www.hestia.org/hammersmith-and-fulham-mental-health-community-support-service,"Supports adults who are struggling with their mental health to help them to re-discover their own strengths, aspirations and goals. Support might include community workshops, befriending, peer mentors, and one-to-one support. You need to be referred by your GP, someone in a mental health service, or another professional who’s helping you.",,18|19|20|21|22|23|24|25
Harrow Cove Hestia,https://www.hestia.org/harrow-cove,"A safe, inviting, and inclusive space for individuals who are struggling to cope with their mental health and daily life. Anyone aged 16+ in crisis can drop in to get 1-to-1 support to as well as activities and a hot drink and snack.",1,16|17|18|19|20|21|22|23|24|25
Harrow RISE Hestia,https://www.hestia.org/harrow-rise,"Supports adults who are struggling with their mental health to help them to re-discover their own strengths, aspirations and goals. Support might include community workshops, befriending, peer mentors, and one-to-one support. You need to be referred by your GP, someone in a mental health service, or another professional who’s helping you.",,18|19|20|21|22|23|24|25
Hillingdon Cove Hestia,https://www.hestia.org/hillingdon-cove,"A safe, inviting, and inclusive space for individuals who are struggling to cope with their mental health and daily life. Anyone aged 16+ in crisis can drop in to get 1-to-1 support to as well as activities and a hot drink and snack.",1,16|17|18|19|20|21|22|23|24|25
"Kensington, Chelsea and Westminster Cove Hestia",https://www.hestia.org/kensington-chelsea-and-westminster-crisis-cove,"A safe, inviting, and inclusive space for individuals who are struggling to cope with their mental health and daily life. Anyone aged 16+ in crisis can drop in to get 1-to-1 support to as well as activities and a hot drink and snack.",1,16|17|18|19|20|21|22|23|24|25
STRIDES CNWL NHS Foundation Trust,https://www.cnwl.nhs.uk/services/mental-health-services/eating-disorders/strides-support-recovery-disordered-eating-service,Provides evidence-based support and treatment for people experiencing mild to moderate eating difficulties. STRIDES stands for ‘Support to Recovery in Disordered Eating Service’.,1,16|17|18|19|20|21|22|23|24|25
Community Eating Disorders Service for Children and Young People CNWL NHS Foundation Trust,https://www.cnwl.nhs.uk/services/mental-health-services/eating-disorders/community-eating-disorder-service-children-and-young-people,"Offers help and support to young people who have (or are thought to have) an eating disorder including anorexia, bulimia, binge eating disorder, and other specified feeding or eating disorder.",,8|9|10|11|12|13|14|15|16|17
West London CAMHS eating disorders service West London NHS Trust,https://www.westlondon.nhs.uk/our-services/child-and-adolescent/camhs/how-we-help/what-we-can-help/west-london-camhs-eating-disorders-service,"Provides assessment and treatment to young people who have (or are thought to have) an eating disorder. If you self-refer to this service, you’ll need to see a GP for a physical health review and include this informaton in the referral form.",1,8|9|10|11|12|13|14|15|16|17
Vincent Square Eating Disorder Service CNWL NHS Foundation Trust,https://www.cnwl.nhs.uk/services/mental-health-services/eating-disorders/vincent-square-eating-disorder-service,"Provides a range of eating disorder treatments, including  nutritional, medical, and mental health care. It offers a lot of outpatient services, but also offfers inpatient care.",,18|19|20|21|22|23|24|25
West London Eating Disorder Service West London NHS Trust,https://www.westlondon.nhs.uk/our-services/adult/mental-health-services/eating-disorder-service,"Provides assessment, treatment and monitoring for adults with eating disorders. It provides a range of psychological therapies and dietetic (food) input.",,18|19|20|21|22|23|24|25
Brent Talking Therapies CNWL NHS Foundation Trust,https://talkingtherapies.cnwl.nhs.uk/brent,Provides a range of talking therapies for people who feel anxious or depressed.,1,17|18|19|20|21|22|23|24|25
Harrow Talking Therapies CNWL NHS Foundation Trust,https://talkingtherapies.cnwl.nhs.uk/harrow,Provides a range of talking therapies for people who feel anxious or depressed.,1,17|18|19|20|21|22|23|24|25
Hillingdon Talking Therapies CNWL NHS Foundation Trust,https://talkingtherapies.cnwl.nhs.uk/hillingdon,Provides a range of talking therapies for people who feel anxious or depressed.,1,17|18|19|20|21|22|23|24|25
Kensington and Chelsea Talking Therapies CNWL NHS Foundation Trust,https://talkingtherapies.cnwl.nhs.uk/KandC,Provides a range of talking therapies for people who feel anxious or depressed.,1,17|18|19|20|21|22|23|24|25
Westminster Talking Therapies CNWL NHS Foundation Trust,https://talkingtherapies.cnwl.nhs.uk/westminster,Provides a range of talking therapies for people who feel anxious or depressed.,1,17|18|19|20|21|22|23|24|25
Ealing Talking Therapies West London NHS Trust,https://www.westlondon.nhs.uk/ealing-talking-therapies,"Provides talking therapies for common problems like stress, anxiety, and depression.",1,18|19|20|21|22|23|24|25
Hammersmith and Fulham Talking Therapies West London NHS Trust,https://www.westlondon.nhs.uk/handf-talking-therapies,"Provides talking therapies for common problems like stress, anxiety, and depression.",1,18|19|20|21|22|23|24|25
Hounslow Talking Therapies West London NHS Trust,https://www.westlondon.nhs.uk/hounslow-talking-therapies,"Provides talking therapies for common problems like stress, anxiety, and depression.",1,18|19|20|21|22|23|24|25
Brent CAMHS CNWL NHS Foundation Trust,https://www.cnwl.nhs.uk/camhs/our-services/specialist-camhs/brent-camhs,"Provides mental and emotional health specialist services for children and young people and their families and carers. Offers a range of support, including talking therapies, art therapy, and family therapy. Young people, families, and carers can call Brent CAMHS for advice but to get ongoing support from CAMHS you need to be referred by a healthcare professional (like a GP) or someone at your school. You might be referred to a service called LYRA first. LYRA is a new service that helps to make sure young people are referred to the right service to help them. ",,8|9|10|11|12|13|14|15|16|17
Harrow CAMHS CNWL NHS Foundation Trust,https://www.cnwl.nhs.uk/camhs/our-services/specialist-camhs/harrow-camhs,"Provides mental and emotional health specialist services for children and young people and their families and carers. Offers a range of support, inclduing talking therapies, art therapy, and family therapy. You can get support in-person or online. Young people, families, and carers can call Harrow CAMHS for advice but to get ongoing support from CAMHS you need to be referred by a healthcare professional (like a GP) or someone at your school.",,8|9|10|11|12|13|14|15|16|17
Hillingdon CAMHS CNWL NHS Foundation Trust,https://www.cnwl.nhs.uk/camhs/our-services/specialist-camhs/hillingdon-camhs,"Provides  mental and emotional health specialist services for children and young people and their families and carers. Young people, families, and carers can call Hillingdon CAMHS for advice but to get ongoing support from CAMHS you need to be referred by a healthcare professional (like a GP) or someone at your school.",,8|9|10|11|12|13|14|15|16|17
Kensington and Chelsea CAMHS CNWL NHS Foundation Trust,https://www.cnwl.nhs.uk/camhs/our-services/specialist-camhs/kensington-and-chelsea-camhs,"Provides mental and emotional health specialist services for children and young people and their families and carers. Offers a range of support, inclduing talking therapies, art therapy, and family therapy. You can get support in-person or online. Young people, families, and carers can call Kensington and Chelsea CAMHS for advice but to get ongoing support from CAMHS you need to be referred by a healthcare professional (like a GP) or someone at your school.",,8|9|10|11|12|13|14|15|16|17
Westminster CAMHS CNWL NHS Foundation Trust,https://www.cnwl.nhs.uk/camhs/our-services/specialist-camhs/westminster-camhs,"Provides mental and emotional health specialist services for children and young people and their families and carers. Offers a range of support, inclduing talking therapies, art therapy, and family therapy. You can get support in-person or online. Young people, families, and carers can call Westminster CAMHS for advice but to get ongoing support from CAMHS you need to be referred by a healthcare professional (like a GP) or someone at your school.",,8|9|10|11|12|13|14|15|16|17
"Ealing, Hammersmith and Fulham, and Hounslow CAMHS West London NHS Trust",https://www.westlondon.nhs.uk/our-services/child-and-adolescent/camhs,"Supports young people with assessments and treatment for a range of emotional, behavioural, and mental health difficulties. You might be offered talking therapy, family therapy, or (in some cases) medication.",,8|9|10|11|12|13|14|15|16|17
Mental health Integrated Network Teams (MINT) West London NHS Trust,https://www.westlondon.nhs.uk/mint,"Mental Health Integrated Network Teams provide community-based mental healthcare for adults with mental health difficulties. They offer joined-up, personalised treatment and care including therapeutic support, mental health education, employemnt and volunteering support, peer support, and community link workers. Most people are referred by their GP, but some people are referred from other mental health services or social care services.",,18|19|20|21|22|23|24|25
Brent Community Mental Health Hubs CNWL NHS Foundation Trust,https://www.cnwl.nhs.uk/services/mental-health-services/adult-and-older-adult/Brent-community-mental-health-hubs,"Provides support for adults with mental health conditions. Offers intervention-based care focused on recovery through evidence-based support including talking therapies, social support, medication, and employment support. Support is joined-up, so you can get mental health support and practical support with things like employment at the same time.",,18|19|20|21|22|23|24|25
Harrow Community Mental Health Hubs CNWL NHS Foundation Trust,https://www.cnwl.nhs.uk/services/mental-health-services/adult-and-older-adult/Harrow-community-mental-health-hubs,"Provides support for adults with mental health conditions. Offers intervention-based care focused on recovery through evidence-based support including talking therapies, social support, medication, and employment support. Support is joined-up, so you can get mental health support and practical support with things like employment at the same time.",,18|19|20|21|22|23|24|25
Hillingdon Community Mental Health Hubs CNWL NHS Foundation Trust,https://www.cnwl.nhs.uk/services/mental-health-services/adult-and-older-adult/Hillingdon-community-mental-health-hubs,"Provides support for adults with mental health conditions. Offers intervention-based care focused on recovery through evidence-based support including talking therapies, social support, medication, and employment support. Support is joined-up, so you can get mental health support and practical support with things like employment at the same time.",,18|19|20|21|22|23|24|25
Kensington and Chelsea Community Mental Health Hubs CNWL NHS Foundation Trust,https://www.cnwl.nhs.uk/services/mental-health-services/adult-and-older-adult/Kensington-and-Chelsea-community-mental-health-hubs,"Provides support for adults with mental health conditions. Offers intervention-based care focused on recovery through evidence-based support including talking therapies, social support, medication, and employment support. Support is joined-up, so you can get mental health support and practical support with things like employment at the same time.",,18|19|20|21|22|23|24|25
Westminster Community Mental Health Hubs CNWL NHS Foundation Trust,https://www.cnwl.nhs.uk/westminster-community-mental-health-hub,"Provides support for adults with mental health conditions. Offers intervention-based care focused on recovery through evidence-based support including talking therapies, social support, medication, and employment support. Support is joined-up, so you can get mental health support and practical support with things like employment at the same time.",,18|19|20|21|22|23|24|25
"Safe Space Mind Hammersmith, Fulham, Ealing, and Hounslow and West London NHS Trust",https://www.westlondon.nhs.uk/our-services/adult/mental-health-services/safe-spaces,"A crisis alternative service that offers a calm, welcoming and warm environment for people to go to when in crisis. When you’re there, friendly staff will listen to you and help you get the support you need, including by helping you with strategies to cope in the moment, giving you resoruces to take away, and connecting you with other local services. You can drop-in in person or call on the phone.",1,18|19|20|21|22|23|24|25
"The Circle Mind Hammersmith, Fulham, Ealing, and Hounslow and West London NHS Trust",https://www.hfehmind.org.uk/get-support/service-for-schools/support-for-children-young-people/circle-cafe-childrens-hub/,"The Circle provides in-the-moment mental health support for children and young people in a safe space on South Ealing Road (W5 4QA). Some of its opening times are for young people to drop in without an appointment, but you can make appointments too.",1,8|9|10|11|12|13|14|15|16|17|18
The Coves Hestia and CNWL NHS Foundation Trust,https://www.cnwl.nhs.uk/services/coves,"A community-based crisis alternative service that offers non-clinical support to people experiencing crisis or mental distress. They can help you with skills to cope in the moment, as well as helping you make a support plan and get information about local services. You can drop-in to get support in-person, or get support over the phone or through Zoom. You must not be under the influence of alcohol or drugs.",1,18|19|20|21|22|23|24|25
Discover Together (CNWL Discovery College) CNWL NHS Foundation Trust,https://www.cnwl.nhs.uk/discover,"In-person and online workshops designed to help young adults maintain mental wellbeing, build resilience, and thrive. Each session is facilitated by a clinical trainer and lived experience trainer. Sessions offer a collaborative space to have open conversations and try things that help sustain good mental health.",1,16|17|18|19|20|21|22|23|24|25
Young Adult Community Navigator Service CNWL NHS Foundation Trust,https://www.cnwl.nhs.uk/services/mental-health-services/adult-and-older-adult/young-adult-community-navigator-service,"Provides emotional and practical support to young adults, working in partnership with local third-sector organisations. Community Navigators take a non-clinical approach and support young adults with their goals, including offering help with wellbeing, benefits, housing, employment, education and access to local services.",,16|17|18|19|20|21|22|23|24|25
Kooth,https://www.kooth.com/signup/available-in-many-areas,"An online platform that offers one-to-one online chats with mental health professionals. You can chat to a professional when the chat is open, but you can explore the other parts of Kooth all the time.",1,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25
Brent Wellbeing Team,https://www.annafreud.org/services/services-for-professionals/brent-wellbeing-team/,"Qualified wellbeing practitioners provide short-term therapeutic support for young people with mild to moderate mental health and emotional wellbeing needs. You need to meet at least two of: living in Brent, having a GP in Brent, and attending school in Brent. The service supports 5 to 18 year olds, or young people up to age 25 if they have a special educational need or are disabled. You can refer yourself, but parents/carers and professionals can make referrals too.",1,5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25
LYRA,https://www.brent.gov.uk/children-young-people-and-families/support-for-parents-and-families/childrens-public-health/children-and-young-peoples-mental-health,"LYRA is a service that links together NHS teams and charities in Brent. It offers initial assessments to young people (aged up to 18, or 25 if they have a special educational need or are disabled), and then makes sure they’re referred on to the right service(s) to help them, which could include CAMHS and/or another organisation or service. LYRA doesn't provide talking therapy, but the people who work there can refer you on to the best organisation to provide therapy for you. You can refer yourself to LYRA by calling or emailing the CNWL single point of access. ",1,5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25
Learning Disability Helpline,https://www.mencap.org.uk/advice-and-support/learning-disability-helpline,"A helpline that gives advice and support to people with a learning disability and their families and carers. They can advise on things like social care, safeguarding, benefits, and housing. They are not a crisis service. ",1,8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25
Scope helpline,https://www.scope.org.uk/helpline,"A helpline giving advice and support on issues that matter to disabled people and their families. They can help with things like benefits, social care, housing, equipment, and working. ",1,8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25
Beat eating disorder helpline,https://www.beateatingdisorders.org.uk/get-information-and-support/get-help-for-myself/i-need-support-now/helplines/,"Information and support for anyone who is struggling with their eating – you do not need a formal diagnosis to get in touch. An advisor will work with you to make an action plan, and direct you towards information and support that will help you (or your lived one) work towards recovery. Scotland, Wales, and Northern Ireland have different phone numbers and email addresses, listed on the Beat website. ",1,8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25
Kids Can Achieve support for SEND,https://kidscanachieve.co.uk/services/family-service/,"Kids Can Achieve has a family service that provides free one-to-one and group support to the parents and carers of children with a special educational need or disability. Your parents or carers can get help with things like benefits, housing, and emotional support – you don’t need a diagnosis. If you have a learning disability, your family might be able to get a small grant too. Kids Can Achieve also runs clubs and activities in Harrow, but these cost money – they can help you work out if the council or NHS can help you pay for you.",1,8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25
Wealdstone Youth Hub,https://www.harrow.gov.uk/childrens-social-care/wealdstone-youth-centre,"The youth hub provides lots of different activities including youth clubs, cooking sessions, gym sessions, a games night, and the Harrow Youth Parliament. Sessions are held in a few different places and have different age limits. Sometimes you can drop in, but sometimes you need to book over the phone. The youth hub also runs mental toughness sessions, but you need to be referred before you can go to these.",1,9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25
Empower,https://www.watfordfccsetrust.com/project/empower/,"Empower offers young people who are struggling with their mental health weekly sessions for three months. Each session has 60 minutes of sport, followed by a 30-minute wellbeing workshop. You do not need a diagnosis, but Empower is only for people who are struggling with their wellbeing. A parent or carer can refer you. ",1,9|10|11|12
